id,name,brand,price,created
1,intranet,Bogisich Inc,7864,2008-04-25T10:30:32Z
2,analyzing,"Erdman, Hermann and Smitham",2917,2019-03-21T13:55:56Z
3,Down-sized,"Stamm, Champlin and Bernier",3145,2004-09-18T23:33:03Z
4,paradigm,O'Hara LLC,7685,2012-09-07T14:08:38Z
5,initiative,Heidenreich Inc,51,2017-07-07T14:09:40Z
6,actuating,"Cole, Ward and Satterfield",4788,2005-07-23T13:37:27Z
7,utilisation,"Flatley, Volkman and Jacobson",2719,2006-11-12T07:53:19Z
8,Optimized,Prohaska LLC,5504,2006-12-06T01:42:40Z
9,Phased,"Kshlerin, Christiansen and Reynolds",7267,2003-07-27T21:49:48Z
10,client-driven,"Schneider, Harber and Rowe",7048,2012-09-02T10:49:09Z
11,fault-tolerant,"Kozey, Pagac and Schowalter",5947,2015-10-21T23:18:06Z
12,policy,Berge LLC,5712,2003-05-05T06:32:25Z
13,interactive,Stoltenberg-Vandervort,4736,2015-11-27T15:56:33Z
14,utilisation,Weissnat Inc,9027,2017-02-18T13:12:39Z
15,well-modulated,Gutmann Inc,4424,2015-04-24T11:35:49Z
16,object-oriented,Lemke Inc,7462,2013-10-18T00:54:40Z
17,time-frame,Ritchie LLC,7723,2007-08-31T06:12:56Z
18,function,Marquardt-Bahringer,4679,2011-07-11T20:03:59Z
19,responsive,Jacobi-Heller,7214,2001-12-17T17:37:22Z
20,heuristic,Bergstrom-Quigley,6131,2014-11-22T13:20:55Z
21,Persevering,Hermann-Tremblay,2394,2003-06-10T02:19:22Z
22,value-added,"Brekke, Doyle and Olson",556,2016-08-09T08:43:04Z
23,Function-based,Heaney Inc,7197,2007-09-27T15:19:12Z
24,object-oriented,Cummings-Kozey,1319,2009-12-05T10:00:42Z
25,Front-line,"Schmeler, Rolfson and Hirthe",6514,1999-10-18T10:10:05Z
26,intermediate,"Gottlieb, Crist and Goldner",5492,2020-03-13T16:46:43Z
27,upward-trending,Grady-Walker,7257,2014-12-23T21:58:28Z
28,Ameliorated,Schultz Inc,5584,2011-12-18T07:13:02Z
29,transitional,"Sipes, Pouros and Brakus",128,2010-04-13T22:44:41Z
30,homogeneous,Breitenberg-Schumm,9043,2016-05-08T04:16:33Z
31,Right-sized,"Nolan, Baumbach and Hirthe",1084,2002-03-26T02:34:05Z
32,zero tolerance,"Herzog, Hoppe and Nikolaus",4348,2013-01-21T09:32:46Z
33,systemic,Lind Inc,3154,2018-11-27T05:24:13Z
34,encryption,Purdy-Cronin,268,2000-11-14T05:36:27Z
35,alliance,"Hilll, Klocko and Considine",7177,2005-09-15T07:47:14Z
36,Enhanced,Ratke and Sons,4484,2005-08-19T10:46:43Z
37,4th generation,"Mertz, Bartell and West",6641,2004-06-16T20:25:33Z
38,static,"Gottlieb, Hilll and Pfannerstill",8117,2004-12-12T09:27:50Z
39,Distributed,O'Kon-Moen,142,2006-03-06T19:56:08Z
40,function,Conn-Hilll,606,2018-05-17T00:06:21Z
41,firmware,Rolfson-Dibbert,9598,2005-03-14T01:40:59Z
42,Innovative,"Cremin, Glover and Barrows",8078,2016-06-17T10:27:09Z
43,capacity,"Baumbach, Cummings and Dicki",559,2020-05-05T10:25:51Z
44,product,Pouros-Ritchie,8667,2007-12-12T11:09:32Z
45,protocol,Fritsch-Gutmann,8166,2008-06-04T16:22:38Z
46,regional,Mitchell-Rath,3560,2004-07-25T19:06:23Z
47,Function-based,Wisoky-Feest,502,2011-10-08T03:46:27Z
48,architecture,"Oberbrunner, Donnelly and Greenfelder",46,2003-12-26T12:51:13Z
49,Networked,"McCullough, Howell and Beahan",9500,2017-08-18T20:09:52Z
50,info-mediaries,"Dooley, Hahn and Nitzsche",6847,2009-04-18T13:53:05Z
51,protocol,Jaskolski-Cremin,5483,2005-06-30T04:33:04Z
52,transitional,Glover and Sons,5,2011-04-18T16:59:44Z
53,Networked,Bayer and Sons,8308,2000-01-26T09:49:38Z
54,Right-sized,Ruecker and Sons,5395,2019-03-31T02:53:06Z
55,Intuitive,"Johns, Lang and Rice",757,2020-10-13T17:56:38Z
56,even-keeled,"Kessler, Schuppe and Green",4027,2005-04-08T10:41:49Z
57,help-desk,"Upton, Boyle and Casper",1614,2016-03-08T22:48:39Z
58,Re-engineered,Wilkinson-Mohr,5057,2020-02-22T10:47:43Z
